1ÿ4,392,371
6973,314,392,372
7074,7,314,393,372
6468,314,393,372
6568,314,393,372
6670,314,392,372
6771,314,392,372
6873,314,392,371
6973,314,392,372
7074,3ÿ0,313,391,371
101,312,391,370
201,313,392,371
303,315,391,371
404,312,390,371
504,320,395,375
606,308,385,373
707,317,393,374
807,303,397,356
909,309,382,375
1009,306,390,363
1111,305,381,375
1212,314,393,373
1313,308,392,366
1414,319,399,374
1515,306,393,363
1616,314,398,368
1717,313,393,368
1818,315,390,377
1920,324,394,370
2021,306,396,362
2121,319,386,385
2223,307,398,360
2324,309,382,380
2424,317,402,373
2526,306,385,371
2627,315,405,364
2728,307,379,377
2829,317,394,372
2930,319,405,359
3032,310,396,365
3132,311,407,350
3233,320,380,388
3335,304,396,354
3435,326,402,375
3536,313,394,373
3638,310,393,366
3739,313,392,370
3840,297,412,354
3941,313,369,381
4042,300,399,364
4143,308,385,374
4244,306,390,370
4345,306,389,369
4447,307,390,369
4547,307,390,369
4648,307,388,369
4750,307,391,367
4850,308,390,368
4952,308,390,369
5053,307,390,368
5154,308,390,368
5255,307,390,368
5356,307,390,369
5457,307,390,369
5558,308,390,369
5659,307,389,369
5761,308,390,370
5861,307,389,370
5962,308,389,371
6064,307,388,371
6165,307,388,371
6265,307,389,371
6367,307,388,371
6468,307,388,372
6568,308,387,371
6670,308,388,372
6771,308,388,372
6873,307,388,372
6973,308,387,372
7074,308,388,372
7176,
